longitude,latitude,Planting Site Width,Planting Site Length,Genus,Species,Common Name,Diameter,Tree Height,Canopy Height
-75.2560180994,39.9994377024,4,4,Quercus,palustris,Pin oak,31,,
-75.2569026449,39.9990683409,5,5,Quercus,palustris,Pin oak,21,,
-75.2506046468,39.9900122232,9,9,Quercus,palustris,Pin oak,30,,
-75.2882980186,40.0085234508,3,3,Quercus,palustris,Pin oak,15,,
-75.2912067776,40.0637836927,16,16,Fraxinus,pennsylvanica,Green ash,14,,
-75.266467587,40.0152577283,,,Platanus,occidentalis,American sycamore,34,,
-75.2677969897,39.9849438399,,,Platanus,occidentalis,American sycamore,33,,
-75.2672232368,39.9852018943,,,Platanus,occidentalis,American sycamore,41,,
-75.2827745209,40.0091329365,,,Fraxinus,pennsylvanica,Green ash,11,,
-75.2704954014,39.9845750339,,,Taxus,spp,Yew,1,,
-75.2520298626,40.0046418111,,,Quercus,palustris,Pin oak,24,,
-75.2917474558,40.0281310282,,,Fraxinus,pennsylvanica,Green ash,11,,
-75.238432389,40.0199580927,,,Platanus,occidentalis,American sycamore,36,,
-75.2733510155,39.9828440432,,,Quercus,palustris,Pin oak,29,,
-75.2874788232,40.0300027246,,,Juniperus,virginiana,Eastern red cedar,4,,
-75.2491321403,40.0143673295,,,Platanus,occidentalis,American sycamore,47,,
-75.3131584934,40.0323815317,,,Fraxinus,pennsylvanica,Green ash,26,,
-75.2316713042,40.0142652978,,,Platanus,occidentalis,American sycamore,39,,
-75.2627359883,39.9964787517,,,Fraxinus,pennsylvanica,Green ash,12,,
-75.239842956,40.0290556941,,,,,,28,,
-75.2769490794,40.0614114691,,,Quercus,palustris,Pin oak,30,,
-75.2506770945,40.0122321616,,,Chamaecyparis,obtusa,Hinoki false cypress,5,,
-75.2664499969,39.9844423156,,,Platanus,occidentalis,American sycamore,35,,
-75.3085166165,40.020462699,,,Chamaecyparis,obtusa,Hinoki false cypress,2,,
-75.30771566,40.0253903711,,,Quercus,palustris,Pin oak,27,,
-75.3067727433,40.0321370592,,,Chamaecyparis,obtusa,Hinoki false cypress,4,,
-75.2769191648,40.0146768452,,,Fraxinus,pennsylvanica,Green ash,18,,
-75.2543363572,40.0180840267,,,Platanus,occidentalis,American sycamore,25,,
-75.253132326,40.0003007223,,,Quercus,palustris,Pin oak,23,,
-75.3076995967,40.0263116191,,,Quercus,palustris,Pin oak,31,,
-75.285774575,40.0311501305,6,6,Quercus,palustris,Pin oak,11,,
-75.2993026324,40.0571453138,,,Quercus,palustris,Pin oak,23,,
-75.3156697342,40.0359219429,,,Chamaecyparis,obtusa,Hinoki false cypress,5,,
-75.3107435636,40.0382716772,,,Fraxinus,pennsylvanica,Green ash,18,,
-75.3261854828,40.0351653659,,,Taxus,spp,Yew,8,,
-75.2967125317,40.0205154123,,,Taxus,spp,Yew,2,,
-75.2991926813,40.0205228241,,,Taxus,spp,Yew,6,,
-75.2991248739,40.0502666344,,,Quercus,palustris,Pin oak,10,,
-75.2875219161,40.014231694,7,7,Taxus,spp,Yew,2,,
-75.3245964639,40.0360560229,,,Taxus,spp,Yew,20,,
-75.2988129753,40.026624227,,,Taxus,spp,Yew,4,,
-75.3063216389,40.0272658285,,,Taxus,spp,Yew,4,,
-75.3284640994,40.0400613336,,,Juniperus,virginiana,Eastern red cedar,14,,
-75.3985803989,39.9203612326,,,Platanus,occidentalis,American sycamore,3.9,,
-75.3992136809,39.9196538067,,,Platanus,occidentalis,American sycamore,29,,
-75.4593084956,40.1919110498,,,Quercus,palustris,Pin oak,33.7408479355,,
-75.4582015576,40.1920956877,,,Quercus,palustris,Pin oak,37.7197215128,,
-75.4555435574,40.1912756955,,,Fraxinus,pennsylvanica,Green ash,23.2366216914,,
-75.4608701667,40.1930153381,,,Fraxinus,pennsylvanica,Green ash,10.5042262441,,
-75.4613886207,40.1934095566,,,Fraxinus,pennsylvanica,Green ash,15.1197195937,,
-75.4611311287,40.1935058529,,,Fraxinus,pennsylvanica,Green ash,19.7352129434,,
-75.4602588158,40.1937181096,,,Fraxinus,pennsylvanica,Green ash,13.0507053335,,
